UID        PID  PPID  C STIME TTY          TIME CMD
root       302     2  0 Aug10 ?        00:00:20 [ksoftirqd/48]
root       304     2  0 Aug10 ?        00:00:00 [kworker/48:0H]
root       305     2  0 Aug10 ?        00:00:00 [cpuhp/49]
root       306     2  0 Aug10 ?        00:00:00 [idle_inject/49]
root       307     2  0 Aug10 ?        00:00:26 [migration/49]
root       308     2  0 Aug10 ?        00:00:20 [ksoftirqd/49]
root       310     2  0 Aug10 ?        00:00:00 [kworker/49:0H-k]
root       311     2  0 Aug10 ?        00:00:00 [cpuhp/50]
root       312     2  0 Aug10 ?        00:00:00 [idle_inject/50]
root       313     2  0 Aug10 ?        00:00:26 [migration/50]
root       314     2  0 Aug10 ?        00:00:19 [ksoftirqd/50]
root       316     2  0 Aug10 ?        00:00:00 [kworker/50:0H-k]
root       317     2  0 Aug10 ?        00:00:00 [cpuhp/51]
root       318     2  0 Aug10 ?        00:00:00 [idle_inject/51]
root       319     2  0 Aug10 ?        00:00:26 [migration/51]
root       320     2  0 Aug10 ?        00:00:19 [ksoftirqd/51]
root       322     2  0 Aug10 ?        00:00:00 [kworker/51:0H-k]
root       323     2  0 Aug10 ?        00:00:00 [cpuhp/52]
root       324     2  0 Aug10 ?        00:00:00 [idle_inject/52]
root       325     2  0 Aug10 ?        00:00:26 [migration/52]
root       326     2  0 Aug10 ?        00:00:19 [ksoftirqd/52]
root       328     2  0 Aug10 ?        00:00:00 [kworker/52:0H-k]
root       329     2  0 Aug10 ?        00:00:00 [cpuhp/53]
root       330     2  0 Aug10 ?        00:00:00 [idle_inject/53]
root       331     2  0 Aug10 ?        00:00:26 [migration/53]
root       332     2  0 Aug10 ?        00:00:20 [ksoftirqd/53]
root       334     2  0 Aug10 ?        00:00:00 [kworker/53:0H-k]
root       335     2  0 Aug10 ?        00:00:00 [cpuhp/54]
root       336     2  0 Aug10 ?        00:00:00 [idle_inject/54]
root       337     2  0 Aug10 ?        00:00:26 [migration/54]
root       338     2  0 Aug10 ?        00:00:19 [ksoftirqd/54]
root       340     2  0 Aug10 ?        00:00:00 [kworker/54:0H]
root       341     2  0 Aug10 ?        00:00:00 [cpuhp/55]
root       342     2  0 Aug10 ?        00:00:00 [idle_inject/55]
root       343     2  0 Aug10 ?        00:00:25 [migration/55]
root       344     2  0 Aug10 ?        00:00:20 [ksoftirqd/55]
root       346     2  0 Aug10 ?        00:00:00 [kworker/55:0H-k]
root       347     2  0 Aug10 ?        00:00:00 [cpuhp/56]
root       348     2  0 Aug10 ?        00:00:00 [idle_inject/56]
root       349     2  0 Aug10 ?        00:00:26 [migration/56]
root       350     2  0 Aug10 ?        00:00:19 [ksoftirqd/56]
root       352     2  0 Aug10 ?        00:00:00 [kworker/56:0H-k]
root       353     2  0 Aug10 ?        00:00:00 [cpuhp/57]
root       354     2  0 Aug10 ?        00:00:00 [idle_inject/57]
root       355     2  0 Aug10 ?        00:00:26 [migration/57]
root       356     2  0 Aug10 ?        00:00:20 [ksoftirqd/57]
root       358     2  0 Aug10 ?        00:00:00 [kworker/57:0H-k]
root       359     2  0 Aug10 ?        00:00:00 [cpuhp/58]
root       360     2  0 Aug10 ?        00:00:00 [idle_inject/58]
root       361     2  0 Aug10 ?        00:00:25 [migration/58]
root       362     2  0 Aug10 ?        00:00:19 [ksoftirqd/58]
root       364     2  0 Aug10 ?        00:00:00 [kworker/58:0H-k]
root       365     2  0 Aug10 ?        00:00:00 [cpuhp/59]
root       366     2  0 Aug10 ?        00:00:00 [idle_inject/59]
root       367     2  0 Aug10 ?        00:00:25 [migration/59]
root       368     2  0 Aug10 ?        00:00:19 [ksoftirqd/59]
root       370     2  0 Aug10 ?        00:00:00 [kworker/59:0H-k]
root       371     2  0 Aug10 ?        00:00:00 [cpuhp/60]
root       372     2  0 Aug10 ?        00:00:00 [idle_inject/60]
root       373     2  0 Aug10 ?        00:00:25 [migration/60]
root       374     2  0 Aug10 ?        00:00:19 [ksoftirqd/60]
root       376     2  0 Aug10 ?        00:00:00 [kworker/60:0H-k]
root       377     2  0 Aug10 ?        00:00:00 [cpuhp/61]
root       378     2  0 Aug10 ?        00:00:00 [idle_inject/61]
root       379     2  0 Aug10 ?        00:00:26 [migration/61]
root       380     2  0 Aug10 ?        00:00:20 [ksoftirqd/61]
root       382     2  0 Aug10 ?        00:00:00 [kworker/61:0H-k]
root       383     2  0 Aug10 ?        00:00:00 [cpuhp/62]
root       384     2  0 Aug10 ?        00:00:00 [idle_inject/62]
root       385     2  0 Aug10 ?        00:00:26 [migration/62]
root       386     2  0 Aug10 ?        00:00:19 [ksoftirqd/62]
root       388     2  0 Aug10 ?        00:00:00 [kworker/62:0H-k]
root       389     2  0 Aug10 ?        00:00:00 [cpuhp/63]
root       390     2  0 Aug10 ?        00:00:00 [idle_inject/63]
root       391     2  0 Aug10 ?        00:00:26 [migration/63]
root       392     2  0 Aug10 ?        00:00:22 [ksoftirqd/63]
root       394     2  0 Aug10 ?        00:00:00 [kworker/63:0H-k]
root       395     2  0 Aug10 ?        00:00:00 [kdevtmpfs]
root       396     2  0 Aug10 ?        00:00:00 [netns]
root       397     2  0 Aug10 ?        00:00:00 [rcu_tasks_kthre]
root       398     2  0 Aug10 ?        00:00:00 [kauditd]
root       401  6873  0 Aug24 ?        00:00:00 /bin/sh
root       402     2  0 Aug10 ?        00:01:04 [khungtaskd]
root       403     2  0 Aug10 ?        00:00:06 [oom_reaper]
root       404     2  0 Aug10 ?        00:00:00 [writeback]
root       405     2  0 Aug10 ?        00:00:48 [kcompactd0]
root       406     2  0 Aug10 ?        00:01:11 [kcompactd1]
